Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,islem,nblettres,puorth,puphon,nbsyll,cgramortho
a priori,apRijoRi,a priori,NOM,0.41,0.41,1,8,4,5,4,"ADV,NOM"
aa,aa,aa,NOM,0.01,0.01,1,2,2,2,2,NOM
abaca,abaka,abaca,NOM,0.01,0.01,1,5,4,5,3,NOM
abaisse,abEs,abaisse,NOM,0.02,0.02,1,7,7,4,2,"NOM,VER"
abaisse-langue,abEsl@g,abaisse-langue,NOM,0.04,0.04,1,14,8,5,3,NOM
abaissement,abEs°m@,abaissement,NOM,0.31,0.31,1,11,8,5,4,NOM
abalone,abalOn,abalone,NOM,0.01,0.01,1,7,4,4,3,NOM
abalones,abalOn,abalone,NOM,0.01,0,0,8,0,4,3,NOM
abandon,ab@d§,abandon,NOM,4.84,4.77,1,7,7,5,3,NOM
abandonneurs,ab@don9R,abandonneur,NOM,0,0,0,12,0,0,4,NOM
abandons,ab@d§,abandon,NOM,4.84,0.07,0,8,0,5,3,NOM
abaque,abak,abaque,NOM,0,0,1,6,4,4,2,NOM
abat,aba,abat,NOM,0.65,0.13,1,4,4,3,2,"NOM,VER"
abat-jour,abaZuR,abat-jour,NOM,0.51,0.51,1,9,6,4,3,NOM
abat-son,abas§,abat-son,NOM,0,0,1,8,6,5,3,NOM
abatage,abataZ,abatage,NOM,0,0,1,7,5,6,3,NOM
abatis,abati,abatis,NOM,0,0,1,6,5,5,3,NOM
abats,aba,abat,NOM,0.65,0.52,0,5,0,3,2,"NOM,VER"
abattage,abataZ,abattage,NOM,0.65,0.63,1,8,7,6,3,NOM
abattages,abataZ,abattage,NOM,0.65,0.02,0,9,0,6,3,NOM
abattant,abat@,abattant,NOM,0.07,0.05,1,8,7,5,3,"NOM,VER"
abattants,abat@,abattant,NOM,0.07,0.01,0,9,0,5,3,NOM
abattement,abat°m@,abattement,NOM,0.18,0.17,1,10,7,5,4,NOM
abattements,abat°m@,abattement,NOM,0.18,0.01,0,11,0,5,4,NOM
abatteur,abat9R,abatteur,NOM,0.14,0.14,1,8,7,5,3,NOM
abatteurs,abat9R,abatteur,NOM,0.14,0,0,9,0,5,3,NOM
abattis,abati,abattis,NOM,0.14,0.14,1,7,6,5,3,"NOM,VER"
abattoir,abatwaR,abattoir,NOM,3.16,2.67,1,8,6,5,3,NOM
abattoirs,abatwaR,abattoir,NOM,3.16,0.48,0,9,0,5,3,NOM
abattu,abaty,abattu,NOM,0.53,0.18,1,6,6,5,3,"VER,ADJ,NOM"
abattures,abatyR,abatture,NOM,0,0,0,9,0,0,3,NOM
abattus,abaty,abattu,NOM,0.53,0.35,0,7,0,5,3,"VER,ADJ,NOM"
abbatiale,abasjal,abbatiale,NOM,0,0,1,9,9,5,3,"ADJ,NOM"
abbaye,abei,abbaye,NOM,3.94,3.66,1,6,5,4,3,NOM
abbayes,abei,abbaye,NOM,3.94,0.28,0,7,0,4,3,NOM
abbesse,abEs,abbé,NOM,4.46,0.26,0,7,0,4,2,NOM
abbesses,abEs,abbé,NOM,4.46,0,0,8,0,4,2,NOM
abbé,abe,abbé,NOM,4.46,4.19,1,4,4,3,2,NOM
abbés,abe,abbé,NOM,4.46,0.02,0,5,0,3,2,NOM
abc,abese,abc,NOM,0.04,0.04,1,3,3,5,3,NOM
abcès,apsE,abcès,NOM,1.79,1.79,1,5,4,4,2,NOM
