Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,islem,nblettres,puorth,puphon,nbsyll,cgramortho
a,a,avoir,VER,13572.4,5498.34,0,1,1,1,1,"NOM,AUX,VER"
abaissa,abEsa,abaisser,VER,4.93,0,0,7,0,0,3,VER
abaissai,abEsE,abaisser,VER,4.93,0.1,0,8,0,0,3,VER
abaissaient,abEsE,abaisser,VER,4.93,0,0,11,0,0,3,VER
abaissait,abEsE,abaisser,VER,4.93,0.02,0,9,0,0,3,VER
abaissant,abEs@,abaisser,VER,4.93,0.01,0,9,7,5,3,"ADJ,VER"
abaisse,abEs,abaisser,VER,4.93,1.28,0,7,7,4,2,"NOM,VER"
abaissent,abEs,abaisser,VER,4.93,0.05,0,9,0,4,2,VER
abaisser,abese,abaisser,VER,4.93,1.09,1,8,8,5,3,VER
abaissera,abEs°Ra,abaisser,VER,4.93,0.19,0,9,0,0,4,VER
abaisserai,abEs°RE,abaisser,VER,4.93,0.1,0,10,0,0,4,VER
abaisseraient,abEs°RE,abaisser,VER,4.93,0.01,0,13,0,0,4,VER
abaisserais,abEs°RE,abaisser,VER,4.93,0.13,0,11,0,0,4,VER
abaisserait,abEs°RE,abaisser,VER,4.93,0.02,0,11,0,0,4,VER
abaisses,abEs,abaisser,VER,4.93,0.16,0,8,0,4,2,VER
abaissez,abEse,abaisser,VER,4.93,0.53,0,8,0,0,3,VER
abaissons,abEs§,abaisser,VER,4.93,0.02,0,9,0,0,3,VER
abaissèrent,abEsER,abaisser,VER,4.93,0,0,11,0,0,3,VER
abaissé,abese,abaisser,VER,4.93,0.74,0,7,7,5,3,"VER,ADJ"
abaissée,abese,abaisser,VER,4.93,0.17,0,8,0,5,3,"VER,ADJ"
abaissées,abese,abaisser,VER,4.93,0.01,0,9,0,5,3,"VER,ADJ"
abaissés,abese,abaisser,VER,4.93,0.3,0,8,0,5,3,"VER,ADJ"
abandonna,ab@dona,abandonner,VER,110.87,0.59,0,9,0,0,4,VER
abandonnai,ab@donE,abandonner,VER,110.87,0.27,0,10,0,0,4,VER
abandonnaient,ab@donE,abandonner,VER,110.87,0.07,0,13,0,0,4,VER
abandonnais,ab@donE,abandonner,VER,110.87,0.35,0,11,0,0,4,VER
abandonnait,ab@donE,abandonner,VER,110.87,1.04,0,11,0,0,4,VER
abandonnant,ab@don@,abandonner,VER,110.87,1.15,0,11,0,0,4,VER
abandonnas,ab@dona,abandonner,VER,110.87,0,0,10,0,0,4,VER
abandonne,ab@dOn,abandonner,VER,110.87,24.04,0,9,0,0,3,VER
abandonnent,ab@dOn,abandonner,VER,110.87,2.44,0,11,0,0,3,VER
abandonner,ab@done,abandonner,VER,110.87,28.37,1,10,10,7,4,VER
abandonnera,ab@dOn°Ra,abandonner,VER,110.87,1.52,0,11,0,0,5,VER
abandonnerai,ab@dOn°RE,abandonner,VER,110.87,2.39,0,12,0,0,5,VER
abandonneraient,ab@dOn°RE,abandonner,VER,110.87,0.02,0,15,0,0,5,VER
abandonnerais,ab@dOn°RE,abandonner,VER,110.87,0.93,0,13,0,0,5,VER
abandonnerait,ab@dOn°RE,abandonner,VER,110.87,0.23,0,13,0,0,5,VER
abandonneras,ab@dOn°Ra,abandonner,VER,110.87,0.3,0,12,0,0,5,VER
abandonnerez,ab@dOn°Re,abandonner,VER,110.87,0.14,0,12,0,0,5,VER
abandonneriez,ab@dOn°Rje,abandonner,VER,110.87,0.23,0,13,0,0,5,VER
abandonnerions,ab@dOn°Rj§,abandonner,VER,110.87,0.01,0,14,0,0,5,VER
abandonnerons,ab@dOn°R§,abandonner,VER,110.87,0.39,0,13,0,0,5,VER
abandonneront,ab@dOn°R§,abandonner,VER,110.87,0.41,0,13,0,0,5,VER
abandonnes,ab@dOn,abandonner,VER,110.87,4.13,0,10,0,0,3,VER
abandonnez,ab@done,abandonner,VER,110.87,5.72,0,10,0,7,4,VER
